country,count
US,14652
CA,748
GB,478
AU,110
MX,51
IN,40
NL,26
DE,24
NZ,24
ZA,16
BR,15
FR,15
MY,15
JP,14
CN,12
RO,11
PH,11
IE,10
ES,9
SE,9
HU,8
NO,8
PK,8
IQ,7
TR,7
BE,7
IL,7
IT,7
HR,7
VE,7
PT,7
AR,7
TH,6
FI,6
CL,6
DK,5
CH,5
SG,5
GR,5
BG,4
BA,4
EG,4
KR,4
IR,4
CR,4
PL,4
LK,4
MT,4
LT,3
IS,3
NP,3
AT,3
VN,3
AE,3
TT,3
GT,3
LB,3
RS,3
AF,2
EC,2
MA,2
BD,2
BS,2
CY,2
RU,2
ET,2
ZW,2
BH,2
EE,2
HN,2
UA,2
NG,2
LV,2
ID,1
CV,1
PS,1
PA,1
GI,1
KZ,1
TW,1
SI,1
KW,1
SA,1
ST,1
GE,1
SK,1
GY,1
KE,1
BM,1
BN,1
UZ,1
XK,1
SR,1
LU,1
PW,1
FJ,1
JM,1
CO,1
BW,1
BZ,1
BB,1
SV,1
VG,1
PE,1
MK,1
DO,1
SN,1
CU,1
