time,amount
10:00:00 PM,999
9:00:00 PM,894
11:00:00 PM,690
8:00:00 PM,670
7:00:00 PM,484
9:30:00 PM,479
10:30:00 PM,443
12:00:00 AM,373
1:00:00 AM,359
8:30:00 PM,349
6:00:00 PM,327
11:30:00 PM,294
2:00:00 AM,280
7:30:00 PM,250
5:00:00 PM,201
1:00:00 PM,184
6:30:00 PM,177
3:00:00 AM,176
2:00:00 PM,172
4:00:00 PM,168
12:00:00 PM,167
3:00:00 PM,159
9:45:00 PM,157
10:15:00 PM,153
12:30:00 AM,131
1:30:00 AM,131
9:15:00 PM,128
8:15:00 PM,121
8:45:00 PM,121
4:00:00 AM,120
5:30:00 PM,112
11:45:00 PM,103
7:45:00 PM,102
10:45:00 PM,101
5:00:00 AM,95
10:00:00 AM,92
2:30:00 AM,91
11:00:00 AM,88
9:50:00 PM,85
6:45:00 PM,82
9:00:00 AM,81
11:15:00 PM,75
3:30:00 AM,72
8:00:00 AM,72
5:30:00 AM,70
7:15:00 PM,70
10:20:00 PM,67
10:30:00 AM,65
9:20:00 PM,64
4:30:00 AM,62
9:10:00 PM,60
4:30:00 PM,59
7:00:00 AM,59
12:15:00 AM,58
3:30:00 PM,58
8:40:00 PM,58
9:40:00 PM,57
7:30:00 AM,56
6:00:00 AM,54
8:50:00 PM,53
2:30:00 PM,52
10:40:00 PM,52
10:10:00 PM,52
12:30:00 PM,50
8:10:00 PM,48
9:35:00 PM,48
11:20:00 PM,48
5:45:00 PM,48
8:20:00 PM,47
1:30:00 PM,46
10:50:00 PM,43
9:30:00 AM,43
10:35:00 PM,43
7:40:00 PM,42
6:30:00 AM,40
7:50:00 PM,40
8:25:00 PM,39
11:40:00 PM,38
6:15:00 PM,38
10:05:00 PM,38
11:50:00 PM,38
7:20:00 PM,37
9:05:00 PM,36
8:30:00 AM,36
10:25:00 PM,35
11:30:00 AM,35
11:10:00 PM,34
1:15:00 AM,34
7:10:00 PM,33
11:05:00 PM,32
12:05:00 AM,32
8:35:00 PM,31
5:45:00 AM,31
8:55:00 PM,30
12:10:00 AM,29
11:59:00 PM,28
12:45:00 AM,27
9:25:00 PM,27
6:20:00 PM,25
6:40:00 PM,25
4:45:00 AM,25
6:35:00 PM,23
12:20:00 AM,23
7:35:00 PM,23
1:45:00 AM,23
12:01:00 AM,22
11:35:00 PM,22
10:55:00 PM,22
2:45:00 AM,22
9:45:00 AM,21
11:55:00 PM,21
11:25:00 PM,20
8:05:00 PM,20
6:15:00 AM,20
4:15:00 AM,20
9:55:00 PM,20
7:25:00 PM,19
2:15:00 AM,19
7:55:00 PM,19
6:10:00 PM,19
6:45:00 AM,19
5:10:00 PM,19
12:25:00 AM,18
7:45:00 AM,18
6:50:00 PM,18
5:15:00 AM,18
7:05:00 PM,18
4:45:00 PM,17
5:40:00 PM,16
5:15:00 PM,16
10:15:00 AM,16
3:45:00 PM,16
1:40:00 AM,16
5:50:00 PM,16
12:15:00 PM,16
6:20:00 AM,15
